MOBILE_NAME RATING PRICE RAM SIZE CAMERA  BATTERY PROCESSOR  CHARGE
Realme 3 Pro (Lightning Purple| 64 GB),₹11,999₹17,99933% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,

Realme 3 (Diamond Red| 32 GB),₹7,999₹10,99927% offNo Cost EMIUpto ₹7,700 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme 3 Pro (Carbon Grey| 128 GB),₹12,999₹19,99935% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,

Realme 3 Pro (Nitro Blue| 128 GB),₹12,999₹19,99935% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,

Realme 3 (Radiant Blue| 64 GB),₹8,999₹11,99925% offNo Cost EMIUpto ₹8,900 Off on Exchange,,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme 3 (Dynamic Black| 64 GB),₹8,999₹11,99925% offNo Cost EMIUpto ₹8,900 Off on Exchange,,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme 3i (Diamond Red| 32 GB),₹7,499₹8,99916% offNo Cost EMIUpto ₹7,350 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Motorola One Macro (Space Blue| 64 GB),₹9,999₹11,99916% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,4000 mAh Battery,

Redmi 8 (Sapphire Blue| 64 GB),₹7,999₹10,99927% offNo Cost EMIUpto ₹7,700 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,

Redmi Note 7S (Onyx Black| 64 GB),₹10,999₹13,99921% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,

